"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,Huobi/BCH_BTC 交易对接收参数如下：最大持仓量 50000 ，买卖操作的粒度 40 ，当前持仓平均价格/指导买入价格 0.139 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，指导买入点 0.03 ，指导卖出点 0.1
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-12-15 23:00:00,,,信息,,,当前基准买入价格 0.139 上次买入价格 0 动态买入点 0.03 当前持仓总量 20
2017-12-15 23:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1085743 的价格买入 40 个币，当前账户余额为： 50 。本次下单金额 4.342972 ，本次预期买入数量 40 ，预期成交价格 0.1085743
2017-12-15 23:00:00,Huobi,1,买入,市价,4.342972,
2017-12-15 23:00:20,,,信息,,,Huobi/BCH_BTC 交易对买入订单 1 交易成功!成交均价： 0.0968511 ，挂单数量： 4.3429 ，买到数量： 44.7512
2017-12-15 23:00:20,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.110004 ，总持仓数量： 64.7512 ，总持币成本： 7.122871
2018-01-05 00:00:20,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1645099 的价格卖出 40 个币，当前持仓总量 64.7512 动态买入点 0.1 baseSellPrice 0.110004
2018-01-05 00:00:20,Huobi,2,卖出,市价,40,
2018-01-05 00:02:00,,,收益,2.167075,,
2018-01-05 00:02:00,,,信息,,,Huobi/BCH_BTC 交易对订单 2 交易成功!平均卖出价格： 0.1645099 ，平均持仓价格： 0.110004 ，卖出数量： 40 ，毛收盈： 2.167075 ，累计毛收盈： 2.167075
2018-01-10 13:23:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1819999 的价格卖出 4.7512 个币，当前持仓总量 24.7512 动态买入点 0.095 baseSellPrice 0.1645099
2018-01-10 13:23:00,Huobi,3,卖出,市价,4.7512,
2018-01-10 13:25:00,,,收益,2.507412,,
2018-01-10 13:25:00,,,信息,,,Huobi/BCH_BTC 交易对订单 3 交易成功!平均卖出价格： 0.1819999 ，平均持仓价格： 0.110004 ，卖出数量： 4.7512 ，毛收盈： 0.340337 ，累计毛收盈： 2.507412
2018-01-10 13:25:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.146002
2018-01-15 19:40:00,,,信息,,,当前基准买入价格 0.15717755 上次买入价格 0.15717755 动态买入点 0.03 当前持仓总量 20
2018-01-15 19:40:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1491047 的价格买入 40 个币，当前账户余额为： 53.08735234 。本次下单金额 5.964188 ，本次预期买入数量 40 ，预期成交价格 0.1491047
2018-01-15 19:40:00,Huobi,4,买入,市价,5.964188,
2018-01-15 19:42:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 4 交易成功!成交均价： 0.1491047 ，挂单数量： 5.9641 ，买到数量： 39.9194
2018-01-15 19:42:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.136252 ，总持仓数量： 59.9194 ，总持币成本： 8.164155
2018-01-15 19:42:01,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.154015 的价格卖出 39.9194 个币，当前持仓总量 59.9194 动态买入点 0.1 baseSellPrice 0.136252
2018-01-15 19:42:01,Huobi,5,卖出,市价,39.9194,
2018-01-15 19:46:00,,,收益,3.204204,,
