"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-01-15 19:48:01,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1294627 的价格卖出 39.9193 个币，当前持仓总量 59.9193 动态买入点 0.1 baseSellPrice 0.113185
2018-01-15 19:48:01,Huobi,10,卖出,市价,39.9193,
2018-01-15 19:53:00,,,收益,43.56502,,
2018-01-15 19:53:00,,,信息,,,Huobi/BCH_BTC 交易对订单 10 交易成功!平均卖出价格： 0.1294627 ，平均持仓价格： 0.113185 ，卖出数量： 39.9193 ，毛收盈： 0.639458 ，累计毛收盈： 43.56502
2018-01-15 19:53:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.121324
2018-01-15 19:53:00,,,信息,,,当前基准买入价格 0.121324 上次买入价格 0.121324 动态买入点 0.03 当前持仓总量 20
2018-01-15 19:53:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1000001 的价格买入 40 个币，当前账户余额为： 91.30124303 。本次下单金额 4.000004 ，本次预期买入数量 40 ，预期成交价格 0.1000001
2018-01-15 19:53:01,Huobi,11,买入,市价,4.000004,
2018-01-15 19:55:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 11 交易成功!成交均价： 0.1000001 ，挂单数量： 4 ，买到数量： 39.9199
2018-01-15 19:55:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.104534 ，总持仓数量： 59.9199 ，总持币成本： 6.263678
2018-01-15 19:55:01,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1462711 的价格卖出 39.9199 个币，当前持仓总量 59.9199 动态买入点 0.1 baseSellPrice 0.104534
2018-01-15 19:55:01,Huobi,12,卖出,市价,39.9199,
2018-01-15 19:57:00,,,收益,45.219483,,
2018-01-15 19:57:00,,,信息,,,Huobi/BCH_BTC 交易对订单 12 交易成功!平均卖出价格： 0.1462711 ，平均持仓价格： 0.104534 ，卖出数量： 39.9199 ，毛收盈： 1.654463 ，累计毛收盈： 45.219483
2018-01-15 19:57:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.125403
2018-01-15 19:57:01,,,信息,,,满足时K线跌超30%加仓到50%的条件，可以操作买入
2018-01-15 19:57:01,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.5 ，预计花费 93.12871448
2018-01-15 19:57:01,Huobi,13,买入,市价,47.60969724,
2018-01-15 19:59:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 13 交易成功!成交均价： 0.1308476 ，挂单数量： 47.6096 ，买到数量： 363.1275
2018-01-15 19:59:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.129722 ，总持仓数量： 383.1275 ，总持币成本： 49.700071
2018-01-15 19:59:01,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1616949 的价格卖出 40 个币，当前持仓总量 383.1275 动态买入点 0.1 baseSellPrice 0.129722
2018-01-15 19:59:01,Huobi,14,卖出,市价,40,
2018-01-15 20:00:00,,,收益,46.485463,,
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC 交易对订单 14 交易成功!平均卖出价格： 0.1616949 ，平均持仓价格： 0.129722 ，卖出数量： 40 ，毛收盈： 1.26598 ，累计毛收盈： 46.485462999999996
2018-01-15 20:00:01,,,信息,,,Huobi/BCH_BTC交易对当前发生了超过30%的超跌后回升超过8成，操作平仓
2018-01-15 20:00:01,Huobi,15,卖出,市价,323.1275,
2018-01-15 20:02:00,,,收益,56.71229,,
