"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-19 18:32:00,,,信息,,,Huobi/ETC_BTC交易对准备以 0.0019791 的价格买入 389.47937852054787 个币，当前账户余额为： 19.18792725 。本次下单金额 0.7708186380300164 ，本次预期买入数量 389.47937852054787 ，预期成交价格 0.0019791
2017-10-19 18:32:00,Huobi,4,买入,市价,0.770818638030016,
2017-10-19 18:36:00,,,信息,,,Huobi/ETC_BTC 交易对订单 4 买入交易已经成功!成交均价： 0.0019791 ，挂单买入： 0.7708 ，买到数量： 388.6909
2017-10-19 18:36:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-10-19 18:36:00,,,信息,,,Huobi/ETC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-10-19 18:36:00,,,信息,,,Huobi/ETC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.002039 ，总持仓数量： 670.7907 ，总持币成本： 1.368002
2017-10-21 04:37:05,,,信息,,,当前基准买入价格 0.0019791 上次买入价格 0.0019791 动态买入点 0.066 当前持仓总量 670.7907
2017-10-21 04:37:05,,,信息,,,Huobi/ETC_BTC交易对准备以 0.0018421 的价格买入 462.84444463756756 个币，当前账户余额为： 18.41713058 。本次下单金额 0.8526057514668631 ，本次预期买入数量 462.84444463756756 ，预期成交价格 0.0018421
2017-10-21 04:37:05,Huobi,5,买入,市价,0.852605751466863,
2017-10-21 04:58:00,,,信息,,,Huobi/ETC_BTC 交易对订单 5 买入交易已经成功!成交均价： 0.0018421 ，挂单买入： 0.8526 ，买到数量： 461.9156
2017-10-21 04:58:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-10-21 04:58:00,,,信息,,,Huobi/ETC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-10-21 04:58:00,,,信息,,,Huobi/ETC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.00196 ，总持仓数量： 1132.7063 ，总持币成本： 2.220339
2017-10-21 10:37:05,,,信息,,,当前基准买入价格 0.0018421 上次买入价格 0.0018421 动态买入点 0.07400000000000001 当前持仓总量 1132.7063
