"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-11-02 09:20:00,,,信息,,,当前基准买入价格 0.0083611 上次买入价格 0.0083611 动态买入点 0.09000000000000002 当前持仓总量 687.9626
2017-11-02 09:20:00,,,信息,,,Huobi/LTC_BTC交易对准备以 0.0075131 的价格买入 240.53862860688807 个币，当前账户余额为： 13.13443203 。本次下单金额 1.8071907705864108 ，本次预期买入数量 240.53862860688807 ，预期成交价格 0.0075131
2017-11-02 09:20:00,Huobi,6,买入,市价,1.80719077058641,
2017-11-02 09:24:00,,,信息,,,Huobi/LTC_BTC 交易对订单 6 买入交易已经成功!成交均价： 0.0075131 ，挂单买入： 1.8071 ，买到数量： 240.0454
2017-11-02 09:24:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-11-02 09:24:00,,,信息,,,Huobi/LTC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-11-02 09:24:00,,,信息,,,Huobi/LTC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.009115 ，总持仓数量： 928.0079999999999 ，总持币成本： 8.459002
2017-11-02 09:24:00,,,信息,,,满足日K线创年半内新低之后加仓到 70 %的条件，可以操作买入
2017-11-02 09:24:00,,,信息,,,Huobi/LTC_BTC交易对当前需要快速操作买入加仓到 0.7 ，预计花费 5.828313579
2017-11-02 09:24:00,Huobi,7,买入,市价,5.828313579,
2017-11-02 09:32:00,,,信息,,,Huobi/LTC_BTC 交易对订单 7 买入交易已经成功!成交均价： 0.0075461 ，挂单买入： 5.8283 ，买到数量： 770.8144
2017-11-02 09:32:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-11-02 09:32:00,,,信息,,,Huobi/LTC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-11-02 09:32:00,,,信息,,,Huobi/LTC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.00841 ，总持仓数量： 1698.8224 ，总持币成本： 14.287069
2017-11-02 09:46:00,,,信息,,,满足日K线创年半内新低之后加仓到 70 %的条件，可以操作买入
