"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-12-20 09:25:20,,,信息,,,Huobi/BCH_BTC 交易对订单 10 交易成功!平均卖出价格： 0.2199984 ，平均持仓价格： 0.09 ，卖出数量： 73.3332 ，毛收盈： 9.500932 ，累计毛收盈： 39.902008
2017-12-20 10:25:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1910979 的价格卖出 12.246 个币，当前持仓总量 32.246 动态买入点 0.04999999999999998 baseSellPrice 0.2199984
2017-12-20 10:25:00,Huobi,11,卖出,市价,12.246,
2017-12-20 10:25:20,,,收益,41.284752,,
2017-12-20 10:25:20,,,信息,,,Huobi/BCH_BTC 交易对订单 11 交易成功!平均卖出价格： 0.2033206 ，平均持仓价格： 0.09 ，卖出数量： 12.246 ，毛收盈： 1.382744 ，累计毛收盈： 41.284752000000005
2017-12-20 10:25:20,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.14666
2017-12-22 15:29:00,,,信息,,,当前基准买入价格 0.17095205000000002 上次买入价格 0.17095205000000002 动态买入点 0.03 当前持仓总量 20
2017-12-22 15:29:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1634111 的价格买入 30 个币，当前账户余额为： 89.48469428 。本次下单金额 4.9023330000000005 ，本次预期买入数量 30 ，预期成交价格 0.1634111
2017-12-22 15:29:00,Huobi,12,买入,市价,4.902333,
2017-12-22 15:29:20,,,信息,,,Huobi/BCH_BTC 交易对买入订单 12 交易成功!成交均价： 0.1664061 ，挂单数量： 4.9023 ，买到数量： 29.4008
2017-12-22 15:29:20,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.135671 ，总持仓数量： 49.400800000000004 ，总持币成本： 6.702257
2017-12-23 03:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1923529 的价格卖出 29.4008 个币，当前持仓总量 49.4008 动态买入点 0.1 baseSellPrice 0.135671
2017-12-23 03:00:00,Huobi,13,卖出,市价,29.4008,
2017-12-23 03:00:20,,,收益,42.940081,,
2017-12-23 03:00:20,,,信息,,,Huobi/BCH_BTC 交易对订单 13 交易成功!平均卖出价格： 0.1923579 ，平均持仓价格： 0.135671 ，卖出数量： 29.4008 ，毛收盈： 1.655329 ，累计毛收盈： 42.940081000000006
2017-12-23 03:00:20,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.164014
2017-12-29 16:25:00,,,信息,,,当前基准买入价格 0.17553105000000002 上次买入价格 0.17553105000000002 动态买入点 0.03 当前持仓总量 20
2017-12-29 16:25:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1697381 的价格买入 30 个币，当前账户余额为： 90.22660207 。本次下单金额 5.092143 ，本次预期买入数量 30 ，预期成交价格 0.1697381
2017-12-29 16:25:00,Huobi,14,买入,市价,5.092143,
2017-12-29 16:25:20,,,信息,,,Huobi/BCH_BTC 交易对买入订单 14 交易成功!成交均价： 0.1699916 ，挂单数量： 5.0921 ，买到数量： 29.895
2017-12-29 16:25:20,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.156438 ，总持仓数量： 49.894999999999996 ，总持币成本： 7.805483
2017-12-29 19:04:00,,,信息,,,当前基准买入价格 0.1699916 上次买入价格 0.1699916 动态买入点 0.033 当前持仓总量 49.895
2017-12-29 19:04:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1639603 的价格买入 25.2395 个币，当前账户余额为： 85.13453939 。本次下单金额 4.13827599185 ，本次预期买入数量 25.2395 ，预期成交价格 0.1639603
2017-12-29 19:04:00,Huobi,15,买入,市价,4.13827599185,
2017-12-29 19:04:20,,,信息,,,Huobi/BCH_BTC 交易对买入订单 15 交易成功!成交均价： 0.1644996 ，挂单数量： 4.1382 ，买到数量： 25.1058
2017-12-29 19:04:20,,,信息,,,Huobi/BCH_BTC 交易对计划对当前成功的买入量做短线卖出挂单。
2017-12-29 19:04:21,Huobi,16,卖出,0.166803,25.1058,
2017-12-29 19:04:21,,,信息,,,Huobi/BCH_BTC 交易对将当前成功的买入量做卖出挂单成功，订单编号 16
2017-12-29 19:40:00,,,收益,42.993389,,
2017-12-29 19:40:00,,,信息,,,Huobi/BCH_BTC 交易对短线挂单 16 交易成功!卖出价格： 0.1672865 ，买入价格： 0.1644996 ，卖出数量： 25.1058 ，毛收盈： 0.053308 ，累计毛收盈： 42.99338900000001
2017-12-29 23:48:33,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1999819 的价格卖出 29.895 个币，当前持仓总量 49.895 动态买入点 0.1 baseSellPrice 0.156438
2017-12-29 23:48:33,Huobi,17,卖出,市价,29.895,
2017-12-29 23:59:00,,,收益,44.283177,,
2017-12-29 23:59:00,,,信息,,,Huobi/BCH_BTC 交易对订单 17 交易成功!平均卖出价格： 0.1999819 ，平均持仓价格： 0.156438 ，卖出数量： 29.895 ，毛收盈： 1.289788 ，累计毛收盈： 44.28317700000001
2017-12-29 23:59:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.17821
2018-01-01 02:11:28,,,信息,,,当前基准买入价格 0.17821 上次买入价格 0.17821 动态买入点 0.03 当前持仓总量 20
2018-01-01 02:11:28,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1721051 的价格买入 30 个币，当前账户余额为： 91.15434921 。本次下单金额 5.163153 ，本次预期买入数量 30 ，预期成交价格 0.1721051
2018-01-01 02:11:28,Huobi,18,买入,市价,5.163153,
2018-01-01 02:29:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 18 交易成功!成交均价： 0.1721051 ，挂单数量： 5.1631 ，买到数量： 29.9396
2018-01-01 02:29:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.166037 ，总持仓数量： 49.9396 ，总持币成本： 8.291823
2018-01-02 20:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1831145 的价格卖出 29.9396 个币，当前持仓总量 49.9396 动态买入点 0.1 baseSellPrice 0.166037
2018-01-02 20:46:00,Huobi,19,卖出,市价,29.9396,
2018-01-02 20:48:00,,,收益,44.783506,,
2018-01-02 20:48:00,,,信息,,,Huobi/BCH_BTC 交易对订单 19 交易成功!平均卖出价格： 0.1831145 ，平均持仓价格： 0.166037 ，卖出数量： 29.9396 ，毛收盈： 0.500329 ，累计毛收盈： 44.78350600000001
2018-01-02 20:48:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.174576
2018-01-03 05:48:33,,,信息,,,当前基准买入价格 0.18203005 上次买入价格 0.18203005 动态买入点 0.03 当前持仓总量 20
2018-01-03 05:48:33,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1735481 的价格买入 30 个币，当前账户余额为： 91.46269598 。本次下单金额 5.206443 ，本次预期买入数量 30 ，预期成交价格 0.1735481
2018-01-03 05:48:33,Huobi,20,买入,市价,5.206443,
2018-01-03 05:59:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 20 交易成功!成交均价： 0.1735481 ，挂单数量： 5.2064 ，买到数量： 29.9397
2018-01-03 05:59:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.170748 ，总持仓数量： 49.9397 ，总持币成本： 8.52711
2018-01-04 08:23:00,,,信息,,,当前基准买入价格 0.1735481 上次买入价格 0.1735481 动态买入点 0.033 当前持仓总量 49.9397
2018-01-04 08:23:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1671821 的价格买入 32.0675 个币，当前账户余额为： 86.25632597 。本次下单金额 5.3611119917500005 ，本次预期买入数量 32.0675 ，预期成交价格 0.1671821
2018-01-04 08:23:00,Huobi,21,买入,市价,5.36111199175,
