"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-01-15 19:54:00,,,信息,,,Huobi/BCH_BTC 交易对订单 37 交易成功!平均卖出价格： 0.1462711 ，平均持仓价格： 0.119044 ，卖出数量： 31 ，毛收盈： 0.834971 ，累计毛收盈： 39.405735
2018-01-15 19:58:00,,,信息,,,Huobi/BCH_BTC交易对超跌抄底买入了 649.453 个币，抄底价格不具有持仓优势，当前回升超过8成，操作平仓
2018-01-15 19:58:00,Huobi,38,卖出,市价,649.453,
2018-01-15 20:00:00,,,收益,66.895463,,
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC 交易对订单 38 交易成功!平均卖出价格： 0.1616949 ，平均持仓价格： 0.119044 ，卖出数量： 649.453 ，毛收盈： 27.489728 ，累计毛收盈： 66.895463
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.140369
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC交易对已经完成了超跌抄底的平仓工作。
2018-01-15 20:00:00,,,信息,,,当前已经完成平仓，但最后的持仓均价过高，适当降底买入指导价以减小未来买入成本。从 0.140369 调到 0.14
2018-02-02 14:46:00,,,信息,,,当前基准买入价格 0.14 上次买入价格 0.14 动态买入点 0.05 当前持仓总量 0
2018-02-02 14:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1317971 的价格买入 41 个币，当前账户余额为： 116.89529279 。本次下单金额 5.4036811 ，本次预期买入数量 41 ，预期成交价格 0.1317971
2018-02-02 14:46:00,Huobi,39,买入,市价,5.4036811,
2018-02-02 14:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 39 买入交易已经成功!成交均价： 0.1317971 ，挂单买入： 5.4036 ，买到数量： 40.9173
2018-02-02 14:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.132061 ，总持仓数量： 40.9173 ，总持币成本： 5.403567
2018-02-06 23:46:00,,,信息,,,当前基准买入价格 0.1317971 上次买入价格 0.1317971 动态买入点 0.058 当前持仓总量 40.9173
2018-02-06 23:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1227081 的价格买入 57.841608196212384 个币，当前账户余额为： 111.49172575 。本次下单金额 7.097633842701649 ，本次预期买入数量 57.841608196212384 ，预期成交价格 0.1227081
2018-02-06 23:46:00,Huobi,40,买入,市价,7.09763384270165,
2018-02-06 23:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 40 买入交易已经成功!成交均价： 0.1227081 ，挂单买入： 7.0976 ，买到数量： 57.7256
2018-02-06 23:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-02-06 23:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-02-06 23:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.126731 ，总持仓数量： 98.6429 ，总持币成本： 12.501145
2018-02-28 17:46:00,,,信息,,,当前基准买入价格 0.1227081 上次买入价格 0.1227081 动态买入点 0.066 当前持仓总量 98.6429
2018-02-28 17:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1140771 的价格买入 68.01900355871888 个币，当前账户余额为： 104.39416025 。本次下单金额 7.75941067086833 ，本次预期买入数量 68.01900355871888 ，预期成交价格 0.1140771
2018-02-28 17:46:00,Huobi,41,买入,市价,7.75941067086833,
2018-02-28 17:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 41 买入交易已经成功!成交均价： 0.1140771 ，挂单买入： 7.7594 ，买到数量： 67.8828
2018-02-28 17:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-02-28 17:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-02-28 17:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.121666 ，总持仓数量： 166.5257 ，总持币成本： 20.260474
2018-03-29 15:46:00,,,信息,,,当前基准买入价格 0.1140771 上次买入价格 0.1140771 动态买入点 0.07400000000000001 当前持仓总量 166.5257
2018-03-29 15:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1050561 的价格买入 82.42031183732514 个币，当前账户余额为： 96.63479954 。本次下单金额 8.658756522413213 ，本次预期买入数量 82.42031183732514 ，预期成交价格 0.1050561
2018-03-29 15:46:00,Huobi,42,买入,市价,8.65875652241321,
2018-03-29 15:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 42 买入交易已经成功!成交均价： 0.1050561 ，挂单买入： 8.6587 ，买到数量： 82.2548
2018-03-29 15:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-03-29 15:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-03-29 15:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.116244 ，总持仓数量： 248.78050000000002 ，总持币成本： 28.919167
2018-04-01 17:32:00,,,信息,,,当前基准买入价格 0.1050561 上次买入价格 0.1050561 动态买入点 0.08200000000000002 当前持仓总量 248.7805
2018-04-01 17:32:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.0961721 的价格买入 99.05179432916971 个币，当前账户余额为： 87.97614831 。本次下单金额 9.526019069404342 ，本次预期买入数量 99.05179432916971 ，预期成交价格 0.0961721
2018-04-01 17:32:00,Huobi,43,买入,市价,9.52601906940434,
2018-04-01 17:36:00,,,信息,,,Huobi/BCH_BTC 交易对订单 43 买入交易已经成功!成交均价： 0.0961721 ，挂单买入： 9.526 ，买到数量： 98.8533
2018-04-01 17:36:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-04-01 17:36:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-04-01 17:36:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.110591 ，总持仓数量： 347.6338 ，总持币成本： 38.445184
2018-04-19 00:20:00,,,信息,,,满足日K线金叉之后加仓到 40.33323710848784 %的条件，可以操作买入
2018-04-19 00:20:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.4033323710848784 ，预计花费 9.754645471041947
2018-04-19 00:20:00,Huobi,44,买入,市价,9.75464547104195,
2018-04-19 00:24:00,,,信息,,,Huobi/BCH_BTC 交易对订单 44 买入交易已经成功!成交均价： 0.1055187 ，挂单买入： 9.7546 ，买到数量： 92.2593
2018-04-19 00:24:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-04-19 00:24:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-04-19 00:24:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.109571 ，总持仓数量： 439.8931 ，总持币成本： 48.199721
2018-04-19 00:24:00,,,信息,,,满足日K线金叉之后加仓到 51.452973711413364 %的条件，可以操作买入
2018-04-19 00:24:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.5145297371141336 ，预计花费 12.8618804389574
2018-04-19 00:24:00,Huobi,45,买入,市价,12.8618804389574,
2018-04-19 00:32:00,,,信息,,,Huobi/BCH_BTC 交易对订单 45 买入交易已经成功!成交均价： 0.1052848 ，挂单买入： 12.8618 ，买到数量： 121.9175
2018-04-19 00:32:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
