"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,Huobi/BCH_BTC 交易对接收参数如下：最大持仓量 50000 ，买卖操作的粒度 40 ，当前持仓平均价格/指导买入价格 0.09 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，指导买入点 0.03 ，指导卖出点 0.03
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-12-16 10:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1025899 的价格卖出 40 个币，当前持仓总量 555.5549
2017-12-16 10:00:00,Huobi,1,卖出,市价,40,
2017-12-16 10:00:20,,,收益,0.494257,,
2017-12-16 10:00:20,,,信息,,,Huobi/BCH_BTC 交易对订单 1 交易成功!平均卖出价格： 0.1027419 ，平均持仓价格： 0.09 ，卖出数量： 40 ，毛收盈： 0.494257 ，累计毛收盈： 0.494257
2017-12-16 11:48:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1069685 的价格卖出 47.541555555555554 个币，当前持仓总量 515.5549
2017-12-16 11:48:00,Huobi,2,卖出,市价,47.5415555555556,
2017-12-16 11:48:20,,,收益,1.272339,,
2017-12-16 11:48:20,,,信息,,,Huobi/BCH_BTC 交易对订单 2 交易成功!平均卖出价格： 0.1067599 ，平均持仓价格： 0.09 ，卖出数量： 47.5415 ，毛收盈： 0.778082 ，累计毛收盈： 1.272339
2017-12-18 22:29:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1184239 的价格卖出 52.632844444444444 个币，当前持仓总量 468.0134
2017-12-18 22:29:00,Huobi,3,卖出,市价,52.6328444444444,
2017-12-18 22:29:20,,,收益,2.464934,,
2017-12-18 22:29:20,,,信息,,,Huobi/BCH_BTC 交易对订单 3 交易成功!平均卖出价格： 0.1130649 ，平均持仓价格： 0.09 ，卖出数量： 52.6328 ，毛收盈： 1.192595 ，累计毛收盈： 2.4649340000000004
2017-12-19 00:12:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1186119 的价格卖出 52.71640000000001 个币，当前持仓总量 415.3806
2017-12-19 00:12:00,Huobi,4,卖出,市价,52.7164,
2017-12-19 00:12:20,,,收益,3.920752,,
2017-12-19 00:12:20,,,信息,,,Huobi/BCH_BTC 交易对订单 4 交易成功!平均卖出价格： 0.1180321 ，平均持仓价格： 0.09 ，卖出数量： 52.7164 ，毛收盈： 1.455818 ，累计毛收盈： 3.9207520000000002
2017-12-19 00:25:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1244099 的价格卖出 55.293288888888895 个币，当前持仓总量 362.6642
2017-12-19 00:25:00,Huobi,5,卖出,市价,55.2932888888889,
2017-12-19 00:25:20,,,收益,5.615006,,
2017-12-19 00:25:20,,,信息,,,Huobi/BCH_BTC 交易对订单 5 交易成功!平均卖出价格： 0.1210634 ，平均持仓价格： 0.09 ，卖出数量： 55.2932 ，毛收盈： 1.694254 ，累计毛收盈： 5.615006
2017-12-19 17:48:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1295875 的价格卖出 57.59444444444444 个币，当前持仓总量 307.371
2017-12-19 17:48:00,Huobi,6,卖出,市价,57.5944444444444,
2017-12-19 17:48:20,,,收益,7.850348,,
2017-12-19 17:48:20,,,信息,,,Huobi/BCH_BTC 交易对订单 6 交易成功!平均卖出价格： 0.1292503 ，平均持仓价格： 0.09 ，卖出数量： 57.5944 ，毛收盈： 2.235342 ，累计毛收盈： 7.850348
2017-12-20 02:55:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1379999 的价格卖出 61.3332888888889 个币，当前持仓总量 249.7766
