"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-12-13 08:32:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0178305 的价格卖出 181.79547308319738 个币，当前持仓总量 1438.0734 动态卖出点 0.1 基准卖出价 0.0160019
2017-12-13 08:32:00,Huobi,9,卖出,市价,181.795473083197,
2017-12-13 08:36:00,,,收益,4.7728,,
2017-12-13 08:36:00,,,信息,,,Huobi/LTC_BTC 交易对订单 9 交易成功!平均卖出价格： 0.0178305 ，平均持仓价格： 0.009808 ，卖出数量： 181.7954 ，毛收盈： 1.451971 ，累计毛收盈： 4.7728
2017-12-13 21:32:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0198702 的价格卖出 202.59176182707992 个币，当前持仓总量 1256.278 动态卖出点 0.1 基准卖出价 0.0178305
2017-12-13 21:32:00,Huobi,10,卖出,市价,202.59176182708,
2017-12-13 21:36:00,,,收益,6.803267,,
2017-12-13 21:36:00,,,信息,,,Huobi/LTC_BTC 交易对订单 10 交易成功!平均卖出价格： 0.0198702 ，平均持仓价格： 0.009808 ，卖出数量： 202.5917 ，毛收盈： 2.030467 ，累计毛收盈： 6.803267
2017-12-14 16:46:00,,,信息,,,在超过60%浮盈后币价出现了超过15%的回撤，调整动态卖出点减半，期望余下的40%的仓位还可以卖个好价
2017-12-14 16:46:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0170049 的价格卖出 173.37785481239803 个币，当前持仓总量 1053.6863 动态卖出点 0.05 基准卖出价 0.0198702
2017-12-14 16:46:01,Huobi,11,卖出,市价,173.377854812398,
2017-12-14 16:50:00,,,收益,8.045153,,
2017-12-14 16:50:00,,,信息,,,Huobi/LTC_BTC 交易对订单 11 交易成功!平均卖出价格： 0.0170049 ，平均持仓价格： 0.009808 ，卖出数量： 173.3778 ，毛收盈： 1.241886 ，累计毛收盈： 8.045152999999999
2017-12-14 21:37:05,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0168109 的价格卖出 171.39987765089722 个币，当前持仓总量 880.3085 动态卖出点 0.1 基准卖出价 0.0170049
2017-12-14 21:37:05,Huobi,12,卖出,市价,171.399877650897,
2017-12-14 21:58:00,,,收益,9.239686,,
2017-12-14 21:58:00,,,信息,,,Huobi/LTC_BTC 交易对订单 12 交易成功!平均卖出价格： 0.0168109 ，平均持仓价格： 0.009808 ，卖出数量： 171.3998 ，毛收盈： 1.194533 ，累计毛收盈： 9.239685999999999
2017-12-15 10:46:00,,,信息,,,满足时K线跌超15%加仓到30%的条件，可以操作买入
2017-12-15 10:46:00,,,信息,,,Huobi_LTC_BTC交易对可支付金额不足于购买最小交易量，保仓操作完成。
2017-12-19 06:32:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0187355 的价格卖出 191.02263458401302 个币，当前持仓总量 708.9087 动态卖出点 0.1 基准卖出价 0.0168109
2017-12-19 06:32:00,Huobi,13,卖出,市价,191.022634584013,
2017-12-19 06:36:00,,,收益,10.937882,,
2017-12-19 06:36:00,,,信息,,,Huobi/LTC_BTC 交易对订单 13 交易成功!平均卖出价格： 0.0187355 ，平均持仓价格： 0.009808 ，卖出数量： 191.0226 ，毛收盈： 1.698196 ，累计毛收盈： 10.937881999999998
2018-01-06 00:00:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
2018-01-06 00:00:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0152409 的价格卖出 155.39253670473082 个币，当前持仓总量 517.8861 动态卖出点 0.1 基准卖出价 0.0187355
2018-01-06 00:00:00,Huobi,14,卖出,市价,155.392536704731,
2018-01-06 00:04:00,,,收益,11.777377,,
2018-01-06 00:04:00,,,信息,,,Huobi/LTC_BTC 交易对订单 14 交易成功!平均卖出价格： 0.0152409 ，平均持仓价格： 0.009808 ，卖出数量： 155.3925 ，毛收盈： 0.839495 ，累计毛收盈： 11.777376999999998
2018-01-06 00:04:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
2018-01-06 00:04:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0152904 的价格卖出 155.89722675367045 个币，当前持仓总量 362.4936 动态卖出点 0.1 基准卖出价 0.0152409
2018-01-06 00:04:01,Huobi,15,卖出,市价,155.89722675367,
2018-01-06 00:08:00,,,收益,12.6273,,
2018-01-06 00:08:00,,,信息,,,Huobi/LTC_BTC 交易对订单 15 交易成功!平均卖出价格： 0.0152904 ，平均持仓价格： 0.009808 ，卖出数量： 155.8972 ，毛收盈： 0.849923 ，累计毛收盈： 12.627299999999998
2018-01-06 00:08:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
2018-01-06 00:08:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0152739 的价格卖出 155.72899673735725 个币，当前持仓总量 206.5964 动态卖出点 0.1 基准卖出价 0.0152904
2018-01-06 00:08:01,Huobi,16,卖出,市价,155.728996737357,
2018-01-06 00:12:00,,,收益,13.473741,,
2018-01-06 00:12:00,,,信息,,,Huobi/LTC_BTC 交易对订单 16 交易成功!平均卖出价格： 0.0152739 ，平均持仓价格： 0.009808 ，卖出数量： 155.7289 ，毛收盈： 0.846441 ，累计毛收盈： 13.473740999999999
2018-01-06 00:12:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
2018-01-06 00:12:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0153069 的价格卖出 50.8675 个币，当前持仓总量 50.8675 动态卖出点 0.1 基准卖出价 0.0152739
2018-01-06 00:12:01,Huobi,17,卖出,市价,50.8675,
2018-01-06 00:20:00,,,收益,13.751899,,
2018-01-06 00:20:00,,,信息,,,Huobi/LTC_BTC 交易对订单 17 交易成功!平均卖出价格： 0.0153069 ，平均持仓价格： 0.009808 ，卖出数量： 50.8675 ，毛收盈： 0.278158 ，累计毛收盈： 13.751898999999998
2018-01-06 00:20:00,,,信息,,,Huobi/LTC_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.012557
2018-01-17 23:12:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.012557 调到 0.01272705
2018-02-23 09:46:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.01272705 调到 0.01435455
2018-03-02 12:32:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.01435455 调到 0.014360350000000001
2018-03-02 12:46:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.014360350000000001 调到 0.01437455
2018-03-02 14:08:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.01437455 调到 0.0143773
2018-03-02 15:04:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.0143773 调到 0.014377550000000001
2018-03-02 23:32:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.014377550000000001 调到 0.014377850000000001
